"Topic","Example String"
"Art & Design","visual arts, design principles, architecture, photography, and creative projects."
"Business & Finance","business news, entrepreneurship, investing, stock markets, economics, personal finance, and corporate strategy."
"Careers & Employment","job search advice, career development strategies, workplace issues, and discussions about different professions."
"Education & Learning","educational resources, study tips, online courses, educational policies, and lifelong learning strategies."
"Entertainment","movies, music, television, books, video games, live events, and cultural phenomena."
"Fashion & Beauty","fashion trends, beauty tips, personal style, and discussions on the fashion industry."
"Food & Culinary","recipes, cooking tips, food culture, dietary advice, restaurant reviews, and discussions about cuisines from around the world."
"Healthcare & Medicine","medical advice, health conditions, treatments, wellness tips, mental health, and discussions on healthcare systems."
"History & Archaeology","historical events, archaeological discoveries, cultural heritage, and historical analysis."
"Hobbies & Leisure","gardening, crafting, collecting, travel hobbies, and leisure activities."
"Law & Legal Issues","legal advice, discussions on laws, rights, and legal case studies."
"Philosophy & Religion","philosophical theories, religious beliefs, spirituality, and ethical living."
"Politics & Governance","political ideologies, policy debates, elections, governance structures, and international relations."
"Psychology & Sociology","human behavior, social dynamics, psychological theories, and societal trends."
"Science & Technology","scientific discoveries, research, gadgets, software, internet services, AI, and technological innovations."
"Social Issues & Ethics","human rights, social justice, ethical dilemmas, environmental issues, and sustainability."
"Sports & Fitness","sports, workout routines, fitness advice, sporting events, and athlete performance."
"Travel & Tourism","destinations, travel advice, local customs, accommodation, transportation, and travel experiences."
